date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:32	49283/49283	---MCZ	200	added ('OK')	text/html	etag:%221701774330-gzip%22	https://literature.duke.edu/courses/problem-love-western-literature	E:/Comparative/literature.duke.edu/courses/problem-love-western-literature.html	(from https://literature.duke.edu/)
14:05:34	50452/50452	---MCZ	200	added ('OK')	text/html	etag:%221701774333-gzip%22	https://literature.duke.edu/courses/theory-today	E:/Comparative/literature.duke.edu/courses/theory-today.html	(from https://literature.duke.edu/)
14:05:35	27064/27064	---M--	200	added ('OK')	image/jpeg	etag:%2269b8-5bff15f639e77%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/small_people_thumbnail/public/images/globe_flags.jpg?h=a7e6d17b&itok=Pi62UKi6	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/small_people_thumbnail/public/images/globe_flags858d.jpg	(from https://literature.duke.edu/)
14:05:36	43263/43263	---MCZ	200	added ('OK')	text/html	etag:%221701774335-gzip%22	https://literature.duke.edu/books/wittgenstein-and-literary-studies	E:/Comparative/literature.duke.edu/books/wittgenstein-and-literary-studies.html	(from https://literature.duke.edu/)
14:05:39	43093/43093	---MCZ	200	added ('OK')	text/html	etag:%221701774338-gzip%22	https://literature.duke.edu/books/suicide-museum	E:/Comparative/literature.duke.edu/books/suicide-museum.html	(from https://literature.duke.edu/)
14:05:40	89289/89289	---M--	200	added ('OK')	image/jpeg	etag:%2215cc9-60bbd55b76d2d%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/ec1964ac35342fa04462fc6c7e883b91.jpg?itok=Q0j5iXNn	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/ec1964ac35342fa04462fc6c7e883b9176af.jpg	(from https://literature.duke.edu/)
14:05:40	65286/65286	---M--	200	added ('OK')	image/jpeg	etag:%22ff06-60bbd55b7c29c%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/4ebe6863783d91ad341975188ea66d42.jpeg?itok=u5jtSZfe	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/4ebe6863783d91ad341975188ea66d426335.jpg	(from https://literature.duke.edu/)
14:05:41	42403/42403	---MCZ	200	added ('OK')	text/html	etag:%221701774340-gzip%22	https://literature.duke.edu/books/concrete	E:/Comparative/literature.duke.edu/books/concrete.html	(from https://literature.duke.edu/)
14:05:42	54417/54417	---M--	200	added ('OK')	image/jpeg	etag:%22d491-60bbd55b732ea%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/da51255e01b6525167dca35c7007bb7c.jpg?itok=YXPmCtzp	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/da51255e01b6525167dca35c7007bb7c4607.jpg	(from https://literature.duke.edu/)
14:05:43	43645/43645	---MCZ	200	added ('OK')	text/html	etag:%221701774342-gzip%22	https://literature.duke.edu/books/politics-decolonial-investigations-decoloniality	E:/Comparative/literature.duke.edu/books/politics-decolonial-investigations-decoloniality.html	(from https://literature.duke.edu/)
14:05:44	63352/63352	---M--	200	added ('OK')	image/jpeg	etag:%22f778-60bbd55b7b686%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/d6635b49514c86291412b09766bd4e7d.jpg?itok=C0_KSFsf	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/d6635b49514c86291412b09766bd4e7dd88a.jpg	(from https://literature.duke.edu/)
14:05:45	43877/43877	---MCZ	200	added ('OK')	text/html	etag:%221701774344-gzip%22	https://literature.duke.edu/books/face-drawn-sand-humanistic-inquiry-and-foucault-present	E:/Comparative/literature.duke.edu/books/face-drawn-sand-humanistic-inquiry-and-foucault-present.html	(from https://literature.duke.edu/)
14:05:46	70872/70872	---M--	200	added ('OK')	image/jpeg	etag:%22114d8-60bbd55b7951d%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/f93b8a0936603e3c2af76fc9d709db83.jpg?itok=JVV7FSUk	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/f93b8a0936603e3c2af76fc9d709db835dd6.jpg	(from https://literature.duke.edu/)
14:05:47	42931/42931	---MCZ	200	added ('OK')	text/html	etag:%221701774346-gzip%22	https://literature.duke.edu/books/compensation-bureau	E:/Comparative/literature.duke.edu/books/compensation-bureau.html	(from https://literature.duke.edu/)
14:05:49	79412/79412	---M--	200	added ('OK')	image/jpeg	etag:%2213634-60bbd55b87961%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/c3d2e3aaf0f48f65a849fde77de204e4.jpg?itok=T1Ae7Xzp	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/c3d2e3aaf0f48f65a849fde77de204e4e612.jpg	(from https://literature.duke.edu/)
14:05:51	43015/43015	---MCZ	200	added ('OK')	text/html	etag:%221701774348-gzip%22	https://literature.duke.edu/books/whisper-tapes-kate-millett-iran	E:/Comparative/literature.duke.edu/books/whisper-tapes-kate-millett-iran.html	(from https://literature.duke.edu/)
14:05:52	91625/91625	---M--	200	added ('OK')	image/jpeg	etag:%22165e9-60bbd55bad04b%22	https://literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/f76f4a974c74804ad61159fb15fceae2.jpg?itok=E5cYAKja	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/styles/book_jacket_large/public/externals/f76f4a974c74804ad61159fb15fceae2025f.jpg	(from https://literature.duke.edu/)
